day_name,video_count,avg_views,avg_engagement
Tuesday,7867,1073456.2382102471,0.029991102071946104
Thursday,7855,1214515.1823042633,0.030488860598344814
Friday,7394,1025640.1629699764,0.030110900730321907
Wednesday,7213,1044622.5574656851,0.030471371135449933
Saturday,6965,1140277.7849246175,0.030826992103373974
Monday,6696,1019937.0563022693,0.03037485065710868
Sunday,6367,902068.2552222388,0.03016334223339093
